project_id,project_name,primary_region,project_complexity,technical_requirements,stakeholder_count,team_size,project_duration,virtual_team_ratio,language_barriers,communication_barriers,prior_collaboration,team_diversity,industry_sector,primary_country,power_distance,individualism,masculinity,uncertainty_avoidance,long_term_orientation,indulgence,project_success,schedule_variance,budget_performance,stakeholder_satisfaction,quality_metrics,team_performance
PROJ-001,Project 1,North America,5,2,32,19,31,37,5,1,4,Low,Technology,9,"9   NaN
9   NaN
Name: power_distance, dtype: float64","9   NaN
9   NaN
Name: individualism, dtype: float64","9   NaN
9   NaN
Name: masculinity, dtype: float64","9   NaN
9   NaN
Name: uncertainty_avoidance, dtype: float64","9   NaN
9   NaN
Name: long_term_orientation, dtype: float64","9   NaN
9   NaN
Name: indulgence, dtype: float64",1,0.7444688400997838,1.0,1.0,1.0,0.9749241622043529
PROJ-002,Project 2,South America,1,2,37,26,15,5,5,2,1,Medium,Technology,20,"20   NaN
20   NaN
Name: power_distance, dtype: float64","20   NaN
20   NaN
Name: individualism, dtype: float64","20   NaN
20   NaN
Name: masculinity, dtype: float64","20   NaN
20   NaN
Name: uncertainty_avoidance, dtype: float64","20   NaN
20   NaN
Name: long_term_orientation, dtype: float64","20   NaN
20   NaN
Name: indulgence, dtype: float64",1,0.6938713099605986,1.0,1.0,1.0,0.8794017073541134
PROJ-003,Project 3,Asia Pacific,1,4,9,21,14,57,3,5,2,High,Healthcare,6,"6   NaN
6   NaN
Name: power_distance, dtype: float64","6   NaN
6   NaN
Name: individualism, dtype: float64","6   NaN
6   NaN
Name: masculinity, dtype: float64","6   NaN
6   NaN
Name: uncertainty_avoidance, dtype: float64","6   NaN
6   NaN
Name: long_term_orientation, dtype: float64","6   NaN
6   NaN
Name: indulgence, dtype: float64",1,0.6821503036403659,0.8593715371416719,0.9594100162504944,0.9324013727025603,0.8457537346148231
PROJ-004,Project 4,South America,1,5,23,30,33,43,5,3,5,High,Technology,Italy,50.0,76.0,70.0,75.0,61.0,30.0,1,0.523315503552914,0.9447372005093799,1.0,1.0,0.6806403089679005
PROJ-005,Project 5,South America,1,1,8,28,4,44,5,1,3,High,Technology,13,"13   NaN
13   NaN
Name: power_distance, dtype: float64","13   NaN
13   NaN
Name: individualism, dtype: float64","13   NaN
13   NaN
Name: masculinity, dtype: float64","13   NaN
13   NaN
Name: uncertainty_avoidance, dtype: float64","13   NaN
13   NaN
Name: long_term_orientation, dtype: float64","13   NaN
13   NaN
Name: indulgence, dtype: float64",1,0.5594466993400111,1.0,1.0,0.8443993267226317,0.8935238161399628
PROJ-006,Project 6,Africa,4,1,39,25,25,31,5,2,4,High,Healthcare,26,"26   NaN
26   NaN
Name: power_distance, dtype: float64","26   NaN
26   NaN
Name: individualism, dtype: float64","26   NaN
26   NaN
Name: masculinity, dtype: float64","26   NaN
26   NaN
Name: uncertainty_avoidance, dtype: float64","26   NaN
26   NaN
Name: long_term_orientation, dtype: float64","26   NaN
26   NaN
Name: indulgence, dtype: float64",1,0.9428203037530896,0.9700490861827793,1.0,0.8178095267347646,0.7506229422251501
PROJ-007,Project 7,Asia Pacific,3,3,21,28,19,44,5,1,5,Medium,Healthcare,15,"15   NaN
15   NaN
Name: power_distance, dtype: float64","15   NaN
15   NaN
Name: individualism, dtype: float64","15   NaN
15   NaN
Name: masculinity, dtype: float64","15   NaN
15   NaN
Name: uncertainty_avoidance, dtype: float64","15   NaN
15   NaN
Name: long_term_orientation, dtype: float64","15   NaN
15   NaN
Name: indulgence, dtype: float64",1,0.882273251330763,0.8081325242968183,0.8174042716205481,0.7664427275833372,0.6805560241994301
PROJ-008,Project 8,Asia Pacific,3,2,48,7,28,60,2,1,3,High,Other,21,"21   NaN
21   NaN
Name: power_distance, dtype: float64","21   NaN
21   NaN
Name: individualism, dtype: float64","21   NaN
21   NaN
Name: masculinity, dtype: float64","21   NaN
21   NaN
Name: uncertainty_avoidance, dtype: float64","21   NaN
21   NaN
Name: long_term_orientation, dtype: float64","21   NaN
21   NaN
Name: indulgence, dtype: float64",1,0.8113126882785697,0.9342227239444312,0.9276929807757675,0.9500702760428003,0.8512843613079378
PROJ-009,Project 9,Asia Pacific,1,5,32,28,10,46,2,3,3,High,Technology,59,"59   NaN
59   NaN
Name: power_distance, dtype: float64","59   NaN
59   NaN
Name: individualism, dtype: float64","59   NaN
59   NaN
Name: masculinity, dtype: float64","59   NaN
59   NaN
Name: uncertainty_avoidance, dtype: float64","59   NaN
59   NaN
Name: long_term_orientation, dtype: float64","59   NaN
59   NaN
Name: indulgence, dtype: float64",0,1.0,0.2,0.3,0.25,0.13224107878866923
PROJ-010,Project 10,South America,3,4,34,23,31,20,3,5,1,Low,Technology,54,"54   NaN
54   NaN
Name: power_distance, dtype: float64","54   NaN
54   NaN
Name: individualism, dtype: float64","54   NaN
54   NaN
Name: masculinity, dtype: float64","54   NaN
54   NaN
Name: uncertainty_avoidance, dtype: float64","54   NaN
54   NaN
Name: long_term_orientation, dtype: float64","54   NaN
54   NaN
Name: indulgence, dtype: float64",0,1.0,0.2,0.3,0.25,0.14475517075740837
